trace,num_peaks,peak_timepoints,mean_prominence
protein_001,11,0.5544;0.9864;1.3320;2.0664;2.6568;3.4416;4.0608;4.5216;4.8096;5.2704;5.7384,22.392148637050354
protein_002,12,0.0936;0.5400;1.0872;2.1096;2.6568;3.4488;4.0680;4.5216;4.8096;5.2776;5.7744;5.9400,19.6525344830584
protein_003,12,0.2736;0.5544;1.0296;1.1592;1.4688;2.0952;3.4488;4.0536;4.5216;4.7952;5.2560;5.6304,9.56073615000135
protein_004,12,0.2304;0.5184;0.7992;1.0296;1.2888;2.6352;3.4416;4.0608;4.5216;4.8024;5.1912;5.7888,14.096555559940697
protein_005,12,0.5544;0.8856;1.1160;1.3536;1.5984;2.6136;3.4488;4.0680;4.5216;4.8024;5.2992;5.9256,7.89595012135952
protein_006,9,0.5184;1.1232;2.6568;3.4416;4.0608;4.5216;4.8024;5.2704;5.9256,16.20233121845253
protein_007,12,0.1872;0.5688;1.1232;1.4760;2.6568;3.4416;4.0680;4.5216;4.8096;5.3064;5.6664;5.8752,15.05674534025046
protein_008,12,0.5112;0.6840;0.8640;1.0512;1.6560;2.6280;3.4416;4.0608;4.5216;4.8024;5.3352;5.8392,7.112059040399173
protein_009,11,0.5616;0.9864;1.2456;1.4472;2.0736;2.6424;3.4416;4.0536;4.5216;4.7952;5.8104,17.083233737559848
protein_010,11,0.5832;0.7128;1.1952;1.5408;2.6496;3.4416;4.0608;4.5216;4.8024;5.3208;5.9400,23.66792767381827
